gml_id,namespace,localId,label,heatConten,emissionHe,diurnalVar,value,q,x,y
ES.143,NL.IMAER,ES.143,NOX (8588),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,9.3157344,0,0)",9.315734,167942.000,492184.000
ES.144,NL.IMAER,ES.144,NOX (8589),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,8.2088208,0,0)",8.208821,168051.000,492059.000
ES.145,NL.IMAER,ES.145,NOX (8590),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,0.85714848,0,0)",0.857148,168057.000,500198.000
ES.146,NL.IMAER,ES.146,NOX (8591),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,0.88836912,0,0)",0.888369,168125.000,496928.000
ES.147,NL.IMAER,ES.147,NOX (8592),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,11.8449216,0,0)",11.844922,168176.000,491916.000
ES.148,NL.IMAER,ES.148,NOX (8593),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,1.02428928,0,0)",1.024289,168182.000,500312.000
ES.149,NL.IMAER,ES.149,NOX (8594),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,5.6796336,0,0)",5.679634,168285.000,491791.000
ES.150,NL.IMAER,ES.150,NOX (8595),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,1.02523536,0,0)",1.025235,168318.000,500437.000
ES.151,NL.IMAER,ES.151,NOX (8596),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,0.88836912,0,0)",0.888369,168375.000,496923.000
ES.152,NL.IMAER,ES.152,NOX (8597),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,14.3741088,0,0)",14.374109,168410.000,491647.000
ES.153,NL.IMAER,ES.153,NOX (8598),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,0.85651776,0,0)",0.856518,168443.000,500552.000
ES.154,NL.IMAER,ES.154,NOX (8599),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,3.15139248,0,0)",3.151392,168520.000,491522.000
ES.155,NL.IMAER,ES.155,NOX (8600),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,1.19332224,0,0)",1.193322,168579.000,500677.000
ES.156,NL.IMAER,ES.156,NOX (8601),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,0.88836912,0,0)",0.888369,168625.000,496918.000
ES.157,NL.IMAER,ES.157,NOX (8602),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,16.903296,0,0)",16.903296,168645.000,491379.000
ES.158,NL.IMAER,ES.158,NOX (8603),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,0.68843088,0,0)",0.688431,168704.000,500792.000
ES.159,NL.IMAER,ES.159,NOX (8604),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,0.62220528,0,0)",0.622205,168754.000,491254.000
ES.160,NL.IMAER,ES.160,NOX (8605),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,1.36109376,0,0)",1.361094,168840.000,500917.000
ES.161,NL.IMAER,ES.161,NOX (8606),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,17.5277088,0,0)",17.527709,168867.000,491125.000
ES.162,NL.IMAER,ES.162,NOX (8607),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,0.88836912,0,0)",0.888369,168875.000,496913.000
ES.163,NL.IMAER,ES.163,NOX (8608),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,0.520344,0,0)",0.520344,168965.000,501032.000
ES.164,NL.IMAER,ES.164,NOX (8609),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,1.90603584,0,0)",1.906036,168988.000,490986.000
ES.165,NL.IMAER,ES.165,NOX (8610),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,15.6197808,0,0)",15.619781,169097.000,490861.000
ES.166,NL.IMAER,ES.166,NOX (8611),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,1.52918064,0,0)",1.529181,169102.000,501157.000
ES.167,NL.IMAER,ES.167,NOX (8612),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,0.88836912,0,0)",0.888369,169125.000,496908.000
ES.168,NL.IMAER,ES.168,NOX (8613),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,4.4371152,0,0)",4.437115,169222.000,490718.000
